"","5862","5863","5864","5865","5866","5867","5868","5976","5977","5978"
"ENSMUSG00000000001.4",1533,426,913,937,1219,500,807,1231,2004,1495
"ENSMUSG00000000003.15",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.14",846,225,404,461,487,304,425,299,538,252
"ENSMUSG00000000031.16",2071,665,837,545,1000,922,1376,476,746,703
"ENSMUSG00000000037.16",40,2,3,0,0,10,3,12,4,3
"ENSMUSG00000000049.11",28,10,6,10,2,6,32,5,11,23
"ENSMUSG00000000056.7",1103,346,676,556,954,363,690,415,774,508
"ENSMUSG00000000058.6",49,13,30,20,22,21,39,29,84,49
"ENSMUSG00000000078.7",1326,448,807,820,741,483,835,768,1466,839
"ENSMUSG00000000085.16",348,99,174,221,364,106,232,114,293,136
"ENSMUSG00000000088.7",9158,2726,4996,4710,7110,4158,5613,4084,7524,4632
"ENSMUSG00000000093.6",0,1,0,13,0,0,7,0,2,0
"ENSMUSG00000000094.12",0,0,0,0,0,0,3,0,0,0
"ENSMUSG00000000103.12",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000120.6",6,0,0,0,1,1,0,0,0,0
"ENSMUSG00000000125.5",1,0,0,1,2,1,5,1,2,0
"ENSMUSG00000000126.11",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000127.14",580,168,303,269,373,253,396,427,709,423
"ENSMUSG00000000131.15",1749,455,784,766,1069,526,814,362,979,527
"ENSMUSG00000000134.17",2220,582,874,850,1565,737,1047,679,1391,812
"ENSMUSG00000000142.15",0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000000148.17",1086,239,577,403,755,244,596,249,618,425
"ENSMUSG00000000149.10",3090,1190,1738,1584,2431,962,1778,910,2305,1119
"ENSMUSG00000000154.16",47,30,26,29,104,14,27,15,71,41
"ENSMUSG00000000157.15",0,0,0,0,0,0,0,0,8,0
"ENSMUSG00000000159.15",0,0,0,0,12,0,0,0,0,0
"ENSMUSG00000000167.14",29,8,21,32,47,24,29,19,49,10
