"","6019","6020","6021","6022","6023","6028","6029","6030","6031","6032"
"ENSMUSG00000000001.4",913,2664,1936,2476,1573,1873,2325,1593,1412,2018
"ENSMUSG00000000003.15",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.14",212,419,209,376,107,266,179,164,408,365
"ENSMUSG00000000031.16",1158,3773,2165,6259,2988,2314,2000,1981,1834,1589
"ENSMUSG00000000037.16",0,0,0,0,0,9,0,7,0,0
"ENSMUSG00000000049.11",522,1106,1018,1418,1549,599,497,571,723,594
"ENSMUSG00000000056.7",721,1864,997,1049,344,1448,1417,955,1303,1564
"ENSMUSG00000000058.6",50,78,35,252,26,41,43,68,56,83
"ENSMUSG00000000078.7",1419,5663,2724,2451,1823,2513,2232,2147,4198,4998
"ENSMUSG00000000085.16",81,288,101,228,124,157,156,175,112,153
"ENSMUSG00000000088.7",4053,9099,6518,13656,6366,8126,6766,7698,6596,7418
"ENSMUSG00000000093.6",0,32,0,4,10,16,0,6,13,21
"ENSMUSG00000000094.12",1,2,0,1,2,1,0,0,0,3
"ENSMUSG00000000103.12",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6",0,0,2,19,0,0,0,1,1,14
"ENSMUSG00000000125.5",0,8,6,0,2,0,0,10,0,0
"ENSMUSG00000000126.11",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000127.14",322,958,475,529,181,576,696,510,516,727
"ENSMUSG00000000131.15",456,1297,1010,1404,866,1060,965,1011,888,1118
"ENSMUSG00000000134.17",509,1390,622,1572,491,862,898,1021,674,861
"ENSMUSG00000000142.15",0,0,2,14,11,0,0,0,0,9
"ENSMUSG00000000148.17",155,255,267,174,20,300,282,114,174,342
"ENSMUSG00000000149.10",663,2148,1260,3321,1524,2715,2485,1818,1804,1306
"ENSMUSG00000000154.16",51,30,41,419,129,322,220,158,135,117
"ENSMUSG00000000157.15",45,412,83,79,14,41,0,16,45,19
"ENSMUSG00000000159.15",5,34,21,89,39,22,10,25,29,0
"ENSMUSG00000000167.14",28,74,72,65,25,27,53,61,93,103
"ENSMUSG00000000168.9",162,534,412,840,230,525,486,377,275,423
"ENSMUSG00000000171.5",3660,6850,5509,13969,6074,6870,5863,6631,5473,6225
"ENSMUSG00000000182.9",1,1,0,0,0,0,0,0,0,4
"ENSMUSG00000000183.6",0,1,0,0,0,0,0,1,0,2
"ENSMUSG00000000184.12",260,427,548,367,222,689,494,677,366,470
"ENSMUSG00000000194.13",775,1485,1171,2151,925,1555,1464,1318,1148,1242
"ENSMUSG00000000197.8",5,2,1,0,7,0,14,4,3,6
"ENSMUSG00000000202.9",4,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204.16",19,181,27,17,4,5,1,7,11,26
"ENSMUSG00000000214.11",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215.11",0,0,0,11,0,0,0,0,0,0
"ENSMUSG00000000216.8",0,0,0,6,0,5,0,0,1,0
"ENSMUSG00000000223.13",3,5,0,2,2,14,5,3,7,1
"ENSMUSG00000000244.17",157,423,150,747,253,753,757,806,178,543
"ENSMUSG00000000247.11",0,0,7,1,0,4,1,25,7,0
"ENSMUSG00000000248.16",1,1,10,2,2,2,0,2,7,0
"ENSMUSG00000000253.13",100,215,190,532,302,274,130,173,131,224
"ENSMUSG00000000263.15",1,0,0,0,0,1,0,0,0,4
"ENSMUSG00000000266.11",9,88,1,8,9,1,56,34,1,1
"ENSMUSG00000000275.16",1421,4490,2175,5362,3361,1259,1530,1390,3510,4628
"ENSMUSG00000000276.11",181,257,190,500,286,138,293,149,370,399
"ENSMUSG00000000278.10",1588,4735,3012,5020,1944,2633,2963,2940,3148,3602
"ENSMUSG00000000282.12",81,271,135,179,138,129,80,103,212,143
"ENSMUSG00000000290.13",3479,9286,6781,14816,5815,7161,6342,6002,5285,6552
"ENSMUSG00000000295.13",197,459,372,1093,610,482,627,616,408,526
"ENSMUSG00000000296.8",1,8,0,29,0,19,24,0,15,10
"ENSMUSG00000000301.16",58,436,262,371,191,217,92,164,102,114
"ENSMUSG00000000303.12",24,21,54,5,40,8,2,2,10,27
"ENSMUSG00000000305.12",4,3,23,10,0,0,4,0,0,0
"ENSMUSG00000000308.14",2,2,0,4,0,3,5,0,0,0
"ENSMUSG00000000317.11",8,3,12,30,26,0,0,29,21,0
"ENSMUSG00000000318.16",27,153,86,359,83,173,115,151,95,119
"ENSMUSG00000000320.10",24,19,80,182,20,16,60,81,106,92
"ENSMUSG00000000325.15",18,78,40,28,29,36,58,20,31,21
"ENSMUSG00000000326.12",2135,4509,4755,8368,3148,6018,6382,5946,3528,4132
"ENSMUSG00000000339.14",153,436,389,1160,622,506,400,622,424,538
"ENSMUSG00000000340.10",170,642,346,584,93,353,317,309,305,378
"ENSMUSG00000000346.8",8128,21777,11713,40265,18365,17535,19069,15682,15225,16386
"ENSMUSG00000000355.13",288,550,481,874,428,508,466,534,541,484
"ENSMUSG00000000359.3",0,27,0,20,0,20,0,0,0,0
"ENSMUSG00000000365.9",30,9,53,47,24,17,25,80,63,97
"ENSMUSG00000000374.8",42,204,313,361,262,190,181,101,139,191
"ENSMUSG00000000378.15",424,1658,1176,2872,1305,1639,1608,1651,1236,1873
"ENSMUSG00000000381.10",0,0,0,13,0,0,0,0,0,0
"ENSMUSG00000000384.15",247,732,835,1216,593,770,511,425,346,458
"ENSMUSG00000000385.7",6,0,10,0,0,6,3,0,0,6
"ENSMUSG00000000386.14",359,1056,181,415,335,94,119,225,797,1030
"ENSMUSG00000000392.17",0,1,0,17,2,0,18,1,1,3
"ENSMUSG00000000394.15",0,0,0,0,0,13,0,0,0,0
"ENSMUSG00000000399.10",1528,3651,2828,6668,2267,3425,3308,4221,2645,3553
"ENSMUSG00000000402.2",0,3,3,0,0,4,27,0,2,6
"ENSMUSG00000000409.14",21,57,21,136,130,23,37,6,66,95
"ENSMUSG00000000411.7",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416.16",1,14,0,0,0,0,0,3,0,0
